Date,Volume,Sentiment,y
2010-01-28,240050000,0,10120.459961
2010-01-29,316900000,0,10067.330078
2010-02-01,198430000,1,10185.530273
2010-02-02,237140000,1,10296.849609
2010-02-03,198940000,0,10270.549805
2010-02-04,304240000,0,10002.179688
2010-02-05,308320000,1,10012.230469
2010-02-08,216270000,0,9908.389648
2010-02-09,236210000,1,10058.639648
2010-02-10,178600000,0,10038.379883
2010-02-11,194470000,1,10144.19043
2010-02-12,296510000,0,10099.139648
2010-02-16,234900000,1,10268.80957
2010-02-17,193270000,1,10309.240234
2010-02-18,185310000,1,10392.900391
2010-02-19,241750000,1,10402.349609
2010-02-22,158440000,0,10383.379883
2010-02-23,190740000,0,10282.410156
2010-02-24,181450000,1,10374.160156
2010-02-25,242550000,0,10321.030273
2010-02-26,282120000,1,10325.259766
2010-03-01,173750000,1,10403.790039
2010-03-02,217180000,1,10405.980469
2010-03-03,183290000,0,10396.759766
2010-03-04,165740000,1,10444.139648
2010-03-05,184270000,1,10566.200195
2010-03-08,171780000,0,10552.519531
2010-03-09,219860000,1,10564.379883
2010-03-10,186570000,1,10567.330078
2010-03-11,150000000,1,10611.839844
2010-03-12,166140000,1,10624.69043
2010-03-15,160570000,1,10642.150391
2010-03-16,227410000,1,10685.980469
2010-03-17,194190000,1,10733.669922
2010-03-18,153280000,1,10779.169922
2010-03-19,434190000,0,10741.980469
2010-03-22,157200000,1,10785.889648
2010-03-23,189140000,1,10888.830078
2010-03-24,195570000,0,10836.150391
2010-03-25,200330000,1,10841.209961
2010-03-26,175490000,1,10850.360352
2010-03-29,136710000,1,10895.860352
2010-03-30,148810000,1,10907.419922
2010-03-31,197060000,0,10856.629883
2010-04-01,159520000,1,10927.070312
2010-04-05,139480000,1,10973.549805
2010-04-06,159960000,0,10969.990234
2010-04-07,187000000,0,10897.519531
2010-04-08,158930000,1,10927.070312
2010-04-09,150660000,1,10997.349609
2010-04-12,153960000,1,11005.969727
2010-04-13,183950000,1,11019.419922
2010-04-14,223920000,1,11123.110352
2010-04-15,203720000,1,11144.570312
2010-04-16,373950000,0,11018.660156
2010-04-19,214850000,1,11092.049805
2010-04-20,175170000,1,11117.05957
2010-04-21,188880000,1,11124.919922
2010-04-22,214700000,1,11134.290039
2010-04-23,207380000,1,11204.280273
2010-04-26,191920000,1,11205.030273
2010-04-27,263400000,0,10991.990234
2010-04-28,236760000,1,11045.269531
2010-04-29,194310000,1,11167.320312
2010-04-30,255130000,0,11008.610352
2010-05-03,178080000,1,11151.830078
2010-05-04,242100000,0,10926.769531
2010-05-05,218830000,0,10866.830078
2010-05-06,459890000,0,10520.320312
2010-05-07,428730000,0,10380.429688
2010-05-10,313350000,1,10785.139648
2010-05-11,223950000,0,10748.259766
2010-05-12,196630000,1,10896.910156
2010-05-13,201480000,0,10782.950195
2010-05-14,256500000,0,10620.160156
2010-05-17,221910000,1,10625.830078
2010-05-18,246370000,0,10510.950195
2010-05-19,266340000,0,10444.370117
2010-05-20,360350000,0,10068.009766
2010-05-21,438220000,1,10193.389648
2010-05-24,211430000,0,10066.570312
2010-05-25,316960000,0,10043.75
2010-05-26,316080000,0,9974.450195
2010-05-27,264770000,1,10258.990234
2010-05-28,243720000,0,10136.629883
2010-06-01,221900000,0,10024.019531
2010-06-02,200850000,1,10249.540039
2010-06-03,176870000,1,10255.280273
2010-06-04,256600000,0,9931.969727
2010-06-07,222940000,0,9816.490234
2010-06-08,259680000,1,9939.980469
2010-06-09,222680000,0,9899.25
2010-06-10,221730000,1,10172.530273
2010-06-11,187890000,1,10211.070312
